method,n_cases,n_stations,clean_snr_gain_mean,corr_z_mean,amp_ratio_median,background_suppression_mean
Bandpass,816,34,0.37430169235929356,0.6828035393348105,1.3218922296580589,0.5697628465770498
DeepDenoiser,816,34,1.3597595779764868,0.6253764964742551,0.18231483595208708,21.51935536674725
Wiener_blind,816,34,1.7559393380254835,0.6900293603694054,1.0590094909830494,2.2175155964586195
Wiener_oracle,816,34,3.713251016086782,0.764911028959458,0.4499059039638912,16.673003939103598
p01_e07,816,34,-0.15623315719253653,0.3876860626855678,0.7551412692330213,5.733298423486859
p05_e16,816,34,-0.23316279183809613,0.3759629407815369,0.7768703670622676,5.751355765515741
p0_e06,816,34,-0.02081970094498734,0.4007887818286693,0.747858493453436,5.874759071760745
