run_name,lambda_pol,seed,epoch,gnorm_max,gnorm_mean,spike_count_gt10,nan_count,gamma_mean,gamma_max,gamma_global_max
exp5_p05_seed42,0.5,42,19,2.52,0.38,0,0,1.0748,1.2935,1.7478
exp5_p05_seed42,0.5,42,20,2.29,0.38,0,0,1.0777,1.2948,1.773
exp5_p05_seed42,0.5,42,21,2.71,0.38,0,0,1.0804,1.2948,1.792
exp5_p05_seed42,0.5,42,22,2.44,0.39,0,0,1.0831,1.2943,1.8102
exp5_p05_seed42,0.5,42,23,2.6,0.38,0,0,1.0857,1.2935,1.8242
exp5_p05_seed42,0.5,42,24,2.52,0.38,0,0,1.0882,1.2942,1.8361
exp5_p05_seed42,0.5,42,25,2.22,0.38,0,0,1.0902,1.2934,1.8446
exp5_p05_seed42,0.5,42,26,3.1,0.38,0,0,1.0918,1.2929,1.8513
exp5_p05_seed42,0.5,42,27,4.04,0.38,0,0,1.0931,1.2926,1.8557
exp5_p05_seed42,0.5,42,28,2.64,0.37,0,0,1.0939,1.2926,1.8589
exp5_p05_seed42,0.5,42,29,2.11,0.37,0,0,1.0944,1.2925,1.8608
exp5_p05_seed42,0.5,42,30,1.65,0.37,0,0,1.0947,1.2927,1.8618
exp5_p05_seed43,0.5,43,1,0.89,0.22,0,0,1.007,1.0583,1.0749
exp5_p05_seed43,0.5,43,2,0.89,0.23,0,0,1.0096,1.077,1.0926
exp5_p05_seed43,0.5,43,3,0.9,0.32,0,0,1.0121,1.1003,1.1548
exp5_p05_seed43,0.5,43,4,1.09,0.35,0,0,1.0188,1.1216,1.1781
exp5_p05_seed43,0.5,43,5,1.12,0.36,0,0,1.0247,1.1454,1.2123
exp5_p05_seed43,0.5,43,6,1.47,0.37,0,0,1.0308,1.159,1.2462
exp5_p05_seed43,0.5,43,7,1.26,0.37,0,0,1.0363,1.17,1.2717
exp5_p05_seed43,0.5,43,8,2.02,0.37,0,0,1.0413,1.1794,1.2918
exp5_p05_seed43,0.5,43,9,1.59,0.36,0,0,1.0455,1.1835,1.3106
exp5_p05_seed43,0.5,43,10,1.95,0.37,0,0,1.0499,1.187,1.3282
exp5_p05_seed43,0.5,43,11,2.16,0.37,0,0,1.0539,1.1897,1.3446
exp5_p05_seed43,0.5,43,12,2.24,0.38,0,0,1.0575,1.1953,1.3583
