covariate,before_smd,after_smd,n_pairs_after
noise_rms_full_mean,-0.18242085926457097,0.55474910743206,15
dominant_freq_hz_mean,-0.4792888957305581,-0.03714274872260273,15
spectral_slope_1_20_mean,-0.4306790993856134,-0.05876168751358827,15
frame_rms_cv_4s_mean,0.08191545477504099,0.06588325954621643,15
