seed,lambda0_method,lambda05_method,lambda0_epoch,lambda05_epoch,clean_snr_db_lambda0,clean_snr_db_lambda05,clean_snr_db_delta_lambda05_minus_lambda0,amp_ratio_lambda0,amp_ratio_lambda05,amp_ratio_delta_lambda05_minus_lambda0,corr_z_lambda0,corr_z_lambda05,corr_z_delta_lambda05_minus_lambda0
42,exp5_p0_seed42_e015,exp5_p05_seed42_e020,15,20,0.2514640849291293,-0.210821329839584,-0.4622854147687133,0.6189676216146087,1.0582573903067147,0.439289768692106,0.35030141699228595,0.37564088997595546,0.02533947298366951
43,exp5_p0_seed43_e008,exp5_p05_seed43_e022,8,22,-0.08588047322629873,-0.14872580231563248,-0.06284532908933375,1.1080798972398043,1.06453061836096,-0.0435492788788443,0.4084671646304654,0.3918152175524738,-0.016651947077991613
44,exp5_p0_seed44_e013,exp5_p05_seed44_e014,13,14,-0.009333607457222668,-0.09771699856789437,-0.0883833911106717,0.9047218633213026,0.9526212237702281,0.04789936044892551,0.34451713951719726,0.37696482026875416,0.03244768075155691
