covariate,mean_A_before,mean_B_before,median_A_before,median_B_before,before_smd,mean_A_after,mean_B_after,median_A_after,median_B_after,after_smd,absolute_smd_reduction,residual_absolute_smd,n_station_A_before,n_station_B_before,n_station_A_after,n_station_B_after,n_pairs_after
noise_rms_full_mean,1979.7608207073738,3608.1956212100204,1259.3590899400015,555.1858359006633,-0.18242085926457097,1979.7608207073738,1086.8636453929887,1259.3590899400015,766.6756754521688,0.55474910743206,-0.372328248167489,0.55474910743206,15,33,15,15,15
dominant_freq_hz_mean,7.4119570845516565,9.40853851010101,8.089192708333334,9.5703125,-0.4792888957305581,7.4119570845516565,7.548556857638889,8.089192708333334,7.71484375,-0.03714274872260273,0.4421461470079554,0.03714274872260273,15,33,15,15,15
spectral_slope_1_20_mean,-0.510785300103888,-0.1728417236687428,-0.5318065551906925,-0.1156471075208055,-0.4306790993856134,-0.510785300103888,-0.46530367304667913,-0.5318065551906925,-0.41074687016302436,-0.05876168751358827,0.3719174118720251,0.05876168751358827,15,33,15,15,15
frame_rms_cv_4s_mean,0.4621103018265384,0.44655558934132145,0.4326930375187298,0.4164472321721299,0.08191545477504099,0.4621103018265384,0.4506229171832664,0.4326930375187298,0.4173702999089252,0.06588325954621643,0.016032195228824556,0.06588325954621643,15,33,15,15,15
