method,metric,adjusted_A_minus_B,ci95_low,ci95_high,bootstrap_replicates,bootstrap_seed,bootstrap_finite_replicates,direction,zero_excluded,model,covariates
Wiener_oracle,corr_z,0.06899710850220948,0.028041698953799904,0.10690009186604035,1000,20314812,1000,positive,True,outcome ~ group_A + standardized_covariates,target_snr_db;log10_noise_rms_injection_10s;dominant_freq_hz;spectral_slope_1_20;log10_high_low_bandpower_ratio;frame_rms_cv_4s
Wiener_oracle,background_suppression_db,0.19547558528912556,-0.7417282666813428,1.0111058911163653,1000,20398552,1000,positive,False,outcome ~ group_A + standardized_covariates,target_snr_db;log10_noise_rms_injection_10s;dominant_freq_hz;spectral_slope_1_20;log10_high_low_bandpower_ratio;frame_rms_cv_4s
p01_e07,output_vs_clean_snr,-0.22167698846645142,-0.40321360284125835,-0.011806080860981465,1000,20340331,1000,negative,True,outcome ~ group_A + standardized_covariates,target_snr_db;log10_noise_rms_injection_10s;dominant_freq_hz;spectral_slope_1_20;log10_high_low_bandpower_ratio;frame_rms_cv_4s
p01_e07,amp_ratio_clean,0.22471924661282908,-0.10485384673392853,0.5980243122420767,1000,20323666,1000,positive,False,outcome ~ group_A + standardized_covariates,target_snr_db;log10_noise_rms_injection_10s;dominant_freq_hz;spectral_slope_1_20;log10_high_low_bandpower_ratio;frame_rms_cv_4s
p01_e07,corr_z,-0.030876992635537562,-0.07521279945670033,0.011443490767944873,1000,20295297,1000,negative,False,outcome ~ group_A + standardized_covariates,target_snr_db;log10_noise_rms_injection_10s;dominant_freq_hz;spectral_slope_1_20;log10_high_low_bandpower_ratio;frame_rms_cv_4s
p01_e07,background_suppression_db,-0.4394716832957608,-0.9337658927790172,0.1737213256168188,1000,20366941,1000,negative,False,outcome ~ group_A + standardized_covariates,target_snr_db;log10_noise_rms_injection_10s;dominant_freq_hz;spectral_slope_1_20;log10_high_low_bandpower_ratio;frame_rms_cv_4s
p05_e16,output_vs_clean_snr,-0.2492809508566397,-0.4570316206687886,-0.03398723478263479,1000,20340342,1000,negative,True,outcome ~ group_A + standardized_covariates,target_snr_db;log10_noise_rms_injection_10s;dominant_freq_hz;spectral_slope_1_20;log10_high_low_bandpower_ratio;frame_rms_cv_4s
p05_e16,amp_ratio_clean,0.26870176586892747,-0.031004620558289786,0.6161580133378244,1000,20323677,1000,positive,False,outcome ~ group_A + standardized_covariates,target_snr_db;log10_noise_rms_injection_10s;dominant_freq_hz;spectral_slope_1_20;log10_high_low_bandpower_ratio;frame_rms_cv_4s
p05_e16,corr_z,-0.04087501464718982,-0.08270955601426787,-0.0036338885374073543,1000,20295308,1000,negative,True,outcome ~ group_A + standardized_covariates,target_snr_db;log10_noise_rms_injection_10s;dominant_freq_hz;spectral_slope_1_20;log10_high_low_bandpower_ratio;frame_rms_cv_4s
p05_e16,background_suppression_db,-0.3374564292726115,-0.8581173440641594,0.37071137547797867,1000,20366952,1000,negative,False,outcome ~ group_A + standardized_covariates,target_snr_db;log10_noise_rms_injection_10s;dominant_freq_hz;spectral_slope_1_20;log10_high_low_bandpower_ratio;frame_rms_cv_4s
p0_e06,output_vs_clean_snr,-0.2581988497889241,-0.45058545650107956,-0.02983211345854635,1000,20336481,1000,negative,True,outcome ~ group_A + standardized_covariates,target_snr_db;log10_noise_rms_injection_10s;dominant_freq_hz;spectral_slope_1_20;log10_high_low_bandpower_ratio;frame_rms_cv_4s
p0_e06,amp_ratio_clean,0.17016510461272222,-0.17300266369871498,0.53930744273648,1000,20320311,1000,positive,False,outcome ~ group_A + standardized_covariates,target_snr_db;log10_noise_rms_injection_10s;dominant_freq_hz;spectral_slope_1_20;log10_high_low_bandpower_ratio;frame_rms_cv_4s
p0_e06,corr_z,-0.031159279991334464,-0.07606014679868671,0.0062797865034326505,1000,20292853,1000,negative,False,outcome ~ group_A + standardized_covariates,target_snr_db;log10_noise_rms_injection_10s;dominant_freq_hz;spectral_slope_1_20;log10_high_low_bandpower_ratio;frame_rms_cv_4s
p0_e06,background_suppression_db,-0.5770046940831299,-1.2087967424610242,0.18442353808752562,1000,20362481,1000,negative,False,outcome ~ group_A + standardized_covariates,target_snr_db;log10_noise_rms_injection_10s;dominant_freq_hz;spectral_slope_1_20;log10_high_low_bandpower_ratio;frame_rms_cv_4s
