method,n,snr_gain_mean,snr_gain_std,amp_ratio_mean,amp_ratio_std,delay_s_mean,delay_s_std,psd_1_5_mean,psd_1_5_std,psd_5_10_mean,psd_5_10_std,psd_10_20_mean,psd_10_20_std
Bandpass,25,-0.5317905230763751,2.970228053905681,0.8544001565470843,0.20067144103996631,-0.12062500000000004,0.9006349756560645,0.4159950624512739,0.6955570934832137,0.0004096286589642301,0.0005058434546054134,0.56538947941686,0.38570734667344203
Raw,25,0.0,0.0,1.0,0.0,-0.07812500000000003,0.9850584928698397,nan,nan,nan,nan,nan,nan
Wiener,25,2.5373917577917484,1.8838062909039446,0.6169030209168092,0.2783601533612107,0.09099999999999996,0.7770579128996756,9.575990906505261,10.762472520788537,9.53062411265163,7.749264246730279,11.37262738221275,8.672008461048426
exp5_p05_seed42_e001,25,-3.9254350213168085,5.065496064611186,0.3898403612499877,0.27161484819192383,0.24000000000000005,0.9833819197036318,8.1640432632244,9.42633306101644,2.7391126714253407,12.984769142599955,8.099258070658209,12.255275412359317
exp5_p05_seed42_e002,25,-3.8632106920087845,4.461847434816322,0.388762881430182,0.2928018488154973,0.1992857142857143,1.0525917963749851,8.86106832119177,9.956510780957062,3.657511464777678,13.47900516445233,9.10681718023338,12.709872628941174
exp5_p05_seed42_e003,25,-3.8230652787171215,5.088681578472951,0.3939636115147575,0.3079311250954184,-0.35076923076923067,0.9818699705425634,8.915321650936384,9.796478781041897,4.3861411119558085,13.048053208409444,10.00035851332846,12.500539146002648
exp5_p05_seed42_e004,25,-2.1031268465964583,4.1799374199016,0.47762319357525557,0.22829585193331112,-0.6259999999999999,1.0452291614760851,6.15761239334217,5.818241129892178,0.7352991875071387,9.469116493951548,6.5702465584159855,8.453169170767545
exp5_p05_seed42_e005,25,-2.550370335154718,4.368688960001101,0.4866717672902445,0.23030607939407916,-0.46749999999999997,0.9523753199238209,5.995748319545209,6.338952669816562,0.6732830523628925,9.45674452969381,6.721984846348774,8.462405588771947
exp5_p05_seed42_e006,25,-2.743291591160364,5.3903303262526086,0.49069495265322843,0.21083214749837875,-0.4133333333333334,1.1089584703174817,5.658826871862328,6.166510479111247,0.26318395199660954,8.89631155315932,6.441505385415419,8.11192161878879
exp5_p05_seed42_e007,25,-2.374970319931021,5.585450497661313,0.44731272027091323,0.19874812744821568,-0.828,0.9391499702745385,5.929077073733046,6.148476915376532,0.7227443778037137,8.710149503301938,7.027058313615138,8.076253481589303
exp5_p05_seed42_e008,25,-2.0450385343236044,4.347169925525205,0.4901295718789667,0.22355248712097503,-0.37461538461538463,1.0305682926993047,5.292965516122009,6.0080467637042,0.5132110949674786,8.42178898691696,6.998696525241375,8.177214135812338
exp5_p05_seed42_e009,25,-2.4019969063267204,4.92035688857039,0.49984746983082906,0.22831132952517305,-0.29846153846153844,0.9858369825752216,5.033558205085034,5.750042616892802,-0.03473219152615572,8.344568537235917,6.254157944168648,7.907779076614957
exp5_p05_seed42_e010,25,-2.0741738464146446,3.986020321410539,0.4889997083287386,0.2017014536578227,-0.4684615384615384,0.997642190782047,5.00140784581567,5.07080006957809,0.10616679156016304,7.933630527690208,6.110778154764486,7.546747859670166
exp5_p05_seed42_e011,25,-2.6121308143470596,4.459564373501857,0.514840691812115,0.20549237430013179,-0.34076923076923077,0.9290148755823312,4.663447003568181,4.836238145334123,-0.31053088030790676,7.9248584143585825,5.637508816831256,7.203105221916627
exp5_p05_seed42_e012,25,-1.685849469668965,3.5535251752745305,0.49110721714753625,0.18745899120966583,-0.4278571428571429,1.0404956138537922,5.099816486577152,5.002403477971124,0.17290247329078295,7.831870915015678,6.292351964648457,6.997191094500333
exp5_p05_seed42_e013,25,-2.46625868619739,3.833871357181562,0.5275506126218129,0.20646937863859263,-0.40733333333333327,1.1608069989834178,4.352273055129328,4.638004807513196,-0.5575901990603811,7.794709684942468,5.3821443829748485,6.793949937755798
exp5_p05_seed42_e014,25,-2.233564307183284,3.7399565334796527,0.5036006580225184,0.17993647947493538,-0.4671428571428571,0.9150209097644285,4.660902800723086,4.287421997726746,-0.29848093023739286,7.502446461223272,5.640431188708593,6.512788289019737
exp5_p05_seed42_e015,25,-1.8695233204880486,3.7437637759945672,0.5198324482474281,0.18520373275804342,-0.3071428571428572,0.8628394037911655,4.8656916071025975,4.380285726937875,-0.13124125496664785,7.498470226430869,5.7827776486982785,6.37845590338836
exp5_p05_seed42_e016,25,-2.1069775530868045,4.099210610606601,0.5417326406233519,0.2024039143696246,-0.31,0.9016334383455713,4.438625352367196,4.1839159696989805,-0.43670691439220194,7.52406296201179,5.520385052072735,6.57277316005818
exp5_p05_seed42_e017,25,-1.5575247807443924,3.1356231283490024,0.524559821762981,0.1929606339181479,-0.4342857142857143,0.9194463729076652,4.898575341247137,4.091052570679146,-0.07388990307865534,7.558773709129621,5.798717437905134,6.585177343297832
exp5_p05_seed42_e018,25,-1.7481723328166148,3.330269562361891,0.5559357208297907,0.20764665620607767,-0.40714285714285714,0.884109144614983,4.575771428573891,4.00386215059677,-0.31846152797117816,7.537580641099125,5.593904449949886,6.487713725530588
exp5_p05_seed42_e019,25,-1.950036269628341,3.3476397354630865,0.5559272399076933,0.20818765839981374,-0.23230769230769227,0.8622167659465282,4.437452502862129,4.059031472418572,-0.44776994419003247,7.568470846554511,5.351913155520546,6.529027315028528
exp5_p05_seed42_e020,25,-1.9465150857160314,3.2232969749106255,0.5737424430242207,0.20345112134189086,-0.3864285714285715,0.900250815391047,4.3805984267016305,3.7341990865867936,-0.6330618562487834,7.44256085895207,5.357663206277948,6.384385522618988
exp5_p05_seed42_e021,25,-1.9081298555427924,3.9022128972698225,0.5681776005070069,0.207515021756706,-0.27357142857142863,0.9381867552652308,4.427819729408235,3.8509142307679527,-0.5975100904346309,7.473938836111903,5.274630208424593,6.394933823634883
exp5_p05_seed42_e022,25,-1.4995270460973997,3.044243263389768,0.5679637036438213,0.19849292934907736,-0.48538461538461536,0.9667599764527937,4.647378993975433,3.8074132929271736,-0.33117706326602575,7.504835303902184,5.573350115455478,6.392074532161279
exp5_p05_seed42_e023,25,-1.7680697115425348,3.6679971899455066,0.5688501011458599,0.2071150644589485,-0.42615384615384627,0.9870510738990192,4.554457816261269,3.851034995288814,-0.3803029702333896,7.473999974292422,5.4867876159718465,6.43666569356606
exp5_p05_seed42_e024,25,-1.9726392589370902,4.061874706621238,0.5489552899102014,0.19310975520757773,-0.39307692307692305,1.0193843135433391,4.688004288336544,3.8861694474441717,-0.42808074788442824,7.6714276858715476,5.476916363307216,6.418635500249077
exp5_p05_seed42_e025,25,-1.9289914317536492,3.8200470754200535,0.5618554662895646,0.2014785227786218,-0.39538461538461533,1.018442365610841,4.570174017660751,3.881911706146059,-0.4748416286566632,7.591637608159544,5.35961881350167,6.405777921171914
exp5_p05_seed42_e026,25,-1.9669027600241873,3.5086301635979784,0.5550603649451874,0.19200463570836987,-0.3425,1.0043333195043698,4.564882769043272,3.890497825162092,-0.48665061091934847,7.711859174622543,5.404598457354211,6.469425357996121
exp5_p05_seed42_e027,25,-1.8331809445043652,3.524333382324046,0.5642427997323117,0.20497251415063517,-0.44846153846153847,0.9926409696736057,4.5523098481327064,3.8733316094878463,-0.5114729568181828,7.728266447634296,5.437818747788579,6.481668310750904
exp5_p05_seed42_e028,25,-1.9441645749957308,3.603973324578412,0.5688492888988421,0.20719820690334892,-0.37250000000000005,0.9736967786054685,4.474634790617899,3.8381191169521176,-0.5228071797529366,7.685272693261537,5.363870276884834,6.471922118701373
exp5_p05_seed42_e029,25,-2.0660161382666775,3.9057945814429083,0.561486389443065,0.20520621874408881,-0.45615384615384613,0.9742574171095129,4.5192701666990835,3.884156763347708,-0.46528177957477834,7.726607792631413,5.414295193102912,6.549220467264928
exp5_p05_seed42_e030,25,-2.0021244694371485,3.8289815195839925,0.5613999477221013,0.20728964907961514,-0.47307692307692306,0.9715759174215928,4.548824576903368,3.8527446350634316,-0.42429482089483517,7.708082879566212,5.445389262752643,6.529731754116485
exp5_p05_seed43_e001,25,-3.6825131689940296,4.037549464663754,0.35359816858866044,0.25521240532447875,0.11785714285714287,0.9751569732350682,9.235537023495821,9.330613260886505,3.604923192087531,13.08698191724201,9.373475980431227,11.965727703291599
exp5_p05_seed43_e002,25,-3.179148877824074,4.0202680635552,0.40558131987497076,0.28667179210035976,0.19800000000000004,1.0346284357198,8.335476468984343,9.238420325407152,3.2453297701261623,12.69932174168254,8.811545711805035,11.98325896573201
exp5_p05_seed43_e003,25,-2.4367420150977592,3.7700365134302656,0.4170985962678724,0.2995707573647046,0.12714285714285714,1.011430589182814,9.120080283878027,8.00469922702698,4.209528124490723,12.020691227246346,9.982656663796439,11.277172805259887
exp5_p05_seed43_e004,25,-1.478449624177874,4.685397221257545,0.40551492720494364,0.23351815091731137,-0.474,1.0706994598547872,7.21789139628687,7.120535629895671,3.060726152174359,10.192923726431708,9.007630714281385,9.552363150177687
exp5_p05_seed43_e005,25,-2.5567103656575854,6.035566355924504,0.46922630546616145,0.21649701903019863,-0.23153846153846158,1.1000408814350502,5.440328581532112,6.999856811190833,0.6886232187907189,9.52435446246545,6.658201225756804,8.748471448656877
exp5_p05_seed43_e006,25,-1.7674590790889146,4.60816213991594,0.48734290874841263,0.20105926841301633,-0.24500000000000002,0.9849709930464232,5.325219656530705,6.289278816236917,0.25527877382680036,9.19819159462097,6.485360343930056,8.524948842763246
exp5_p05_seed43_e007,25,-2.386484480016138,4.703363583730999,0.491232927859364,0.19077501320383766,-0.5327272727272727,0.928078081639597,4.913523651338862,5.868131242799754,-0.2661786844368682,8.942348267751788,5.737429561077737,8.347479021296552
exp5_p05_seed43_e008,25,-2.653760949715368,4.521134605944447,0.47431779540049335,0.2012423873301522,-0.1769230769230769,0.8811127982918018,5.343760106246699,5.371069319079683,-0.10131169994510746,8.790516632553793,6.204628789650748,8.141978800222338
exp5_p05_seed43_e009,25,-2.636576804994312,4.646084082623212,0.4964521561762279,0.1954356153167748,-0.2575,0.8634342765955032,4.831709672852396,5.034927102446648,-0.5006424233111071,8.455851171767408,5.794887946699641,7.744029615488027
exp5_p05_seed43_e010,25,-2.907258095816612,4.623765006271494,0.5309019502492273,0.21559905741391455,-0.6609090909090908,0.9803381099994815,4.275043629584474,4.554116000535296,-0.9425903582712374,8.426260824719936,5.131706818169027,7.725476172927484
exp5_p05_seed43_e011,25,-2.1107998946522777,3.8435248343553505,0.5295871461269533,0.21368021085121663,-0.6376923076923078,0.9763917392124776,4.757080142871099,4.542635178718451,-0.22920730368699047,8.06140227039787,5.881490848060158,7.2676343583817875
exp5_p05_seed43_e012,25,-2.429696286992657,4.0890326180738965,0.5292478464383629,0.19710662225104209,-0.4107142857142857,1.0665663483863552,4.175156527681057,4.315330849620026,-1.0510321687180677,7.917438306381776,5.042781852584757,7.138142921285763
exp5_p05_seed43_e013,25,-2.374119581039085,3.8251792153886175,0.5434373880379048,0.19720999964925573,-0.482857142857143,1.065809072766711,4.23997370012858,4.215655653795495,-0.8929975626867791,7.816739991951146,5.047686381670482,6.925336170649463
exp5_p05_seed43_e014,25,-2.82390559536286,4.649943873206345,0.6024627086169623,0.21909286796022132,0.02642857142857143,1.0350266190010846,3.3625521737024258,4.060526953939655,-1.7697679545630927,7.75430223221925,4.158554487967961,7.012451674888324
exp5_p05_seed43_e015,25,-2.4264794185612524,4.187950406116022,0.5304173794764387,0.19342090265237463,-0.4828571428571428,1.0500981489598864,4.655686062461375,4.007737502665805,-0.4772109595300364,7.744327726661905,5.542481530161674,6.785691587245386
exp5_p05_seed43_e016,25,-1.7474261529769657,3.982684294427633,0.5836772729793077,0.22210596000387847,-0.42733333333333334,0.9992561678012746,4.550667666494276,3.8931720528559373,-0.5800439765148558,7.663099204919231,5.358768715484334,6.644698860021883
exp5_p05_seed43_e017,25,-2.1554291717293594,4.043795571909649,0.601380923310749,0.21851969584428416,-0.370625,0.9412190814975013,4.152172452931583,3.971927776050045,-0.911165602110291,7.614656286872251,5.01136726247148,6.466838836650076
