method,n,clean_snr_gain_mean,corr_mean,corr_delta_mean,amp_ratio_median,background_suppression_mean
Identity,816,0.0,0.6918560568130695,0.0,1.4366323641868193,-1.1891717604092372e-13
N2V point,816,0.15751150595435431,0.6872309193885275,-0.004625137424541872,1.4270184254438363,0.252985145713021
N2V sync,816,0.018604444878045582,0.6892004229112041,-0.00265563390186533,1.440597795204932,0.14030060911277567
CovNorm lambda=0,816,-0.020819700944987335,0.4007887818286693,-0.29106727498440016,0.747858493453436,5.874759071760745
CovNorm lambda=0.1,816,-0.15623315719253653,0.3876860626855678,-0.3041699941275017,0.7551412692330213,5.73329842348686
CovNorm lambda=0.5,816,-0.23316279183809613,0.3759629407815369,-0.31589311603153253,0.7768703670622676,5.751355765515741
DeepDenoiser,816,1.3597595779764868,0.6253764964742551,-0.06647956033881434,0.18231483595208708,21.51935536674725
Wiener-blind,816,1.7559393380254835,0.6900293603694055,-0.0018266964436639184,1.0590094909830494,2.2175155964586195
