"method","source_method","n","clean_snr_mean","corr_z_mean","amp_ratio_median","background_suppression_mean"
"Identity","Identity","816","6.00348284266189e-09","0.6918560568130695","1.4366323641868193","-1.1891717604092372e-13"
"N2V_point","n2v_point_best","816","0.15751151195783716","0.6872309193885275","1.4270184254438363","0.252985145713021"
"N2V_sync","n2v_sync_e10","816","0.01860445088152842","0.6892004229112041","1.440597795204932","0.14030060911277567"
"CovNorm_lambda0","p0_e06","816","-0.020819694941504496","0.4007887818286693","0.747858493453436","5.874759071760745"
"CovNorm_lambda0p1","p01_e07","816","-0.15623315118905368","0.3876860626855678","0.7551412692330213","5.73329842348686"
"CovNorm_lambda0p5","p05_e16","816","-0.23316278583461325","0.3759629407815369","0.7768703670622676","5.751355765515741"
