event_id,station,file_name,method,snr_raw,snr,snr_gain,amp_ratio,delay_s,psd_1_5,psd_5_10,psd_10_20
AM.R0BD5.event.20260411T225413,R0BD5,AM.R0BD5.event.20260411T225413.mseed,Raw,17.315177900071948,17.315177900071948,0.0,1.0,0.07,,,
AM.R0BD5.event.20260411T225413,R0BD5,AM.R0BD5.event.20260411T225413.mseed,Bandpass,17.315177900071948,23.661758402274792,6.346580502202844,1.046968480661336,0.65,0.8283996810152002,0.0004328818969813147,0.7657043390719737
AM.R0BD5.event.20260411T225413,R0BD5,AM.R0BD5.event.20260411T225413.mseed,Wiener,17.315177900071948,18.881766909521545,1.5665890094495971,1.0032983491990262,-0.03,0.06845710867489023,0.19311814900649857,1.823913600302659
AM.R0BD5.event.20260411T225413,R0BD5,AM.R0BD5.event.20260411T225413.mseed,p0_e06,17.315177900071948,19.970093214667827,2.654915314595879,0.5556781824076961,0.32,9.254980807862568,12.112050280515064,14.508834411387165
AM.R0BD5.event.20260411T225413,R0BD5,AM.R0BD5.event.20260411T225413.mseed,p01_e07,17.315177900071948,17.493527366496867,0.178349466424919,0.5694592938143743,-0.07,7.362202936307284,9.433977603981175,12.127538362425605
AM.R0BD5.event.20260411T225413,R0BD5,AM.R0BD5.event.20260411T225413.mseed,p05_e16,17.315177900071948,17.932599492655278,0.6174215925833302,0.6749589475707236,-0.27,4.055272998723212,7.723289609268401,9.319943925303622
AM.R0BD5.event.20260412T035354,R0BD5,AM.R0BD5.event.20260412T035354.mseed,Raw,3.8734286562962783,3.8734286562962783,0.0,1.0,,,,
AM.R0BD5.event.20260412T035354,R0BD5,AM.R0BD5.event.20260412T035354.mseed,Bandpass,3.8734286562962783,4.947329005218286,1.0739003489220078,0.6147663832019885,,0.021189384231537673,0.00030228702990271327,1.0631441019679022
AM.R0BD5.event.20260412T035354,R0BD5,AM.R0BD5.event.20260412T035354.mseed,Wiener,3.8734286562962783,7.469384144482714,3.5959554881864353,0.37235883832902283,1.63,15.659655015411927,13.292926105545263,7.653126512675592
AM.R0BD5.event.20260412T035354,R0BD5,AM.R0BD5.event.20260412T035354.mseed,p0_e06,3.8734286562962783,4.6825466009420404,0.8091179446457621,0.22058331479391513,1.52,12.686596509579283,14.298480265391035,11.287022135346797
AM.R0BD5.event.20260412T035354,R0BD5,AM.R0BD5.event.20260412T035354.mseed,p01_e07,3.8734286562962783,2.1885107174800655,-1.6849179388162128,0.23776390264182645,,10.40645699855545,11.13908489396423,9.849678767754659
AM.R0BD5.event.20260412T035354,R0BD5,AM.R0BD5.event.20260412T035354.mseed,p05_e16,3.8734286562962783,1.5233068081069816,-2.3501218481892967,0.22816107528223584,,12.314140683710633,13.784563197118771,11.33163470806864
AM.R0BD5.event.20260414T210629,R0BD5,AM.R0BD5.event.20260414T210629.mseed,Raw,7.247081805083171,7.247081805083171,0.0,1.0,0.4,,,
AM.R0BD5.event.20260414T210629,R0BD5,AM.R0BD5.event.20260414T210629.mseed,Bandpass,7.247081805083171,13.384028829090353,6.136947024007181,0.9066436572234227,-0.11,1.4749887508361308,0.0007256356736509333,0.9898334049900944
AM.R0BD5.event.20260414T210629,R0BD5,AM.R0BD5.event.20260414T210629.mseed,Wiener,7.247081805083171,14.870434976207056,7.623353171123885,0.8729084796985636,-0.41,2.6102117529395272,0.6256985737216516,5.867580108263482
AM.R0BD5.event.20260414T210629,R0BD5,AM.R0BD5.event.20260414T210629.mseed,p0_e06,7.247081805083171,3.36829580396321,-3.8787860011199613,0.3129835065234223,0.99,6.025079238734761,0.7234295616222091,12.193102268428852
AM.R0BD5.event.20260414T210629,R0BD5,AM.R0BD5.event.20260414T210629.mseed,p01_e07,7.247081805083171,4.007141698841708,-3.2399401062414634,0.4234244926500331,1.0,3.40584331333658,-0.9098199977198398,9.400331308433637
AM.R0BD5.event.20260414T210629,R0BD5,AM.R0BD5.event.20260414T210629.mseed,p05_e16,7.247081805083171,4.235349433221091,-3.01173237186208,0.3814272293111036,1.01,2.900935830197558,-1.0056228940990048,8.372061054626116
AM.R0BD5.event.20260418T212920,R0BD5,AM.R0BD5.event.20260418T212920.mseed,Raw,2.0147147262059364,2.0147147262059364,0.0,1.0,-0.77,,,
AM.R0BD5.event.20260418T212920,R0BD5,AM.R0BD5.event.20260418T212920.mseed,Bandpass,2.0147147262059364,4.305551092059593,2.290836365853657,0.6723182404694268,0.05,0.7139364825462305,0.0004136568077431379,1.4632630183459643
AM.R0BD5.event.20260418T212920,R0BD5,AM.R0BD5.event.20260418T212920.mseed,Wiener,2.0147147262059364,4.825454877296491,2.8107401510905548,0.5553554651952481,-0.9,2.88147226625072,18.05241016589436,18.701364454749186
AM.R0BD5.event.20260418T212920,R0BD5,AM.R0BD5.event.20260418T212920.mseed,p0_e06,2.0147147262059364,2.1585692298798773,0.14385450367394093,0.6083712994564053,-1.03,6.189721199840432,8.361094063310142,12.304363875967377
AM.R0BD5.event.20260418T212920,R0BD5,AM.R0BD5.event.20260418T212920.mseed,p01_e07,2.0147147262059364,1.6278294835062768,-0.3868852426996596,0.45369996956163056,-1.27,4.970369861324928,7.112951808077746,10.278915921545924
AM.R0BD5.event.20260418T212920,R0BD5,AM.R0BD5.event.20260418T212920.mseed,p05_e16,2.0147147262059364,1.9485474202088084,-0.06616730599712795,0.43892818429306096,1.98,4.208977857709425,6.286241506261777,7.581287530781432
AM.R0BD5.event.20260429T063054,R0BD5,AM.R0BD5.event.20260429T063054.mseed,Raw,7.951778841904471,7.951778841904471,0.0,1.0,,,,
AM.R0BD5.event.20260429T063054,R0BD5,AM.R0BD5.event.20260429T063054.mseed,Bandpass,7.951778841904471,10.550260262275925,2.5984814203714546,0.7850159595526001,0.42,0.5189501422348289,0.00042482041980738283,0.7623454717071129
AM.R0BD5.event.20260429T063054,R0BD5,AM.R0BD5.event.20260429T063054.mseed,Wiener,7.951778841904471,14.486368686908573,6.534589845004103,0.40869852797112693,-0.8,0.12793860881682154,6.5263113303540194,11.354334000638474
