case_id,event_template,station_template,noise_files,station_noise,onset_s,target_snr_db,method,background_suppression_db,output_vs_clean_snr,amp_ratio_clean,lag_s,corr_z
3,AM.R0BD5.event.20260411T225413.mseed,R0BD5,AM.RC131.noise.20250606T153000.mseed;AM.R8219.noise.20250604T004815.mseed;AM.RA825.noise.20250606T004041.mseed,RC131,59.53,5.0,Wiener_oracle,7.10603413728632,6.205799648534777,0.6805187179479528,0.0,0.8595459553165872
3,AM.R0BD5.event.20260411T225413.mseed,R0BD5,AM.RC131.noise.20250606T153000.mseed;AM.R8219.noise.20250604T004815.mseed;AM.RA825.noise.20250606T004041.mseed,RC131,59.53,5.0,p0_e06,6.601398052266829,2.3084724270332417,0.6244011177890002,0.0,0.5868753042432667
3,AM.R0BD5.event.20260411T225413.mseed,R0BD5,AM.RC131.noise.20250606T153000.mseed;AM.R8219.noise.20250604T004815.mseed;AM.RA825.noise.20250606T004041.mseed,RC131,59.53,5.0,p01_e07,6.3532520343065215,2.432523400907732,0.5931126344829606,0.0,0.6107178870305076
3,AM.R0BD5.event.20260411T225413.mseed,R0BD5,AM.RC131.noise.20250606T153000.mseed;AM.R8219.noise.20250604T004815.mseed;AM.RA825.noise.20250606T004041.mseed,RC131,59.53,5.0,p05_e16,5.019368157198279,2.4608623021191605,0.7804658406928854,0.0,0.6138642705342291
4,AM.R0BD5.event.20260412T035354.mseed,R0BD5,AM.RC131.noise.20250605T100724.mseed;AM.RCBF0.noise.20250604T041225.mseed;AM.R7813.noise.20250606T160341.mseed,RC131,28.27,-5.0,Noisy,-5.4966665593537543e-14,-4.999999943180554,1.8192583118875287,0.0,0.43505876687223355
4,AM.R0BD5.event.20260412T035354.mseed,R0BD5,AM.RC131.noise.20250605T100724.mseed;AM.RCBF0.noise.20250604T041225.mseed;AM.R7813.noise.20250606T160341.mseed,RC131,28.27,-5.0,Bandpass,0.2200769042299593,-4.619414589827709,1.6971149156282794,0.0,0.3968846495727682
4,AM.R0BD5.event.20260412T035354.mseed,R0BD5,AM.RC131.noise.20250605T100724.mseed;AM.RCBF0.noise.20250604T041225.mseed;AM.R7813.noise.20250606T160341.mseed,RC131,28.27,-5.0,Wiener_blind,1.1576168555314483,-3.2545745837203266,1.4737662497637274,0.0,0.39064469592663015
4,AM.R0BD5.event.20260412T035354.mseed,R0BD5,AM.RC131.noise.20250605T100724.mseed;AM.RCBF0.noise.20250604T041225.mseed;AM.R7813.noise.20250606T160341.mseed,RC131,28.27,-5.0,Wiener_oracle,24.92177575055594,1.3651708823178876,0.11265315428872223,0.0,0.6318226666782619
4,AM.R0BD5.event.20260412T035354.mseed,R0BD5,AM.RC131.noise.20250605T100724.mseed;AM.RCBF0.noise.20250604T041225.mseed;AM.R7813.noise.20250606T160341.mseed,RC131,28.27,-5.0,p0_e06,6.55801196025039,-2.0154112805403748,0.5370161436257159,0.0,0.18792980060805142
4,AM.R0BD5.event.20260412T035354.mseed,R0BD5,AM.RC131.noise.20250605T100724.mseed;AM.RCBF0.noise.20250604T041225.mseed;AM.R7813.noise.20250606T160341.mseed,RC131,28.27,-5.0,p01_e07,6.865686070774826,-1.8580324051000487,0.6560873490318818,0.0,0.14541568878943098
4,AM.R0BD5.event.20260412T035354.mseed,R0BD5,AM.RC131.noise.20250605T100724.mseed;AM.RCBF0.noise.20250604T041225.mseed;AM.R7813.noise.20250606T160341.mseed,RC131,28.27,-5.0,p05_e16,7.051168310435384,-2.5376517338956885,0.9786436659618267,0.0,0.19171513972928536
5,AM.R0BD5.event.20260412T035354.mseed,R0BD5,AM.RC131.noise.20250605T100724.mseed;AM.RCBF0.noise.20250604T041225.mseed;AM.R7813.noise.20250606T160341.mseed,RC131,28.27,0.0,Noisy,-9.739707412188255e-14,2.503071615287712e-07,1.2437105440413654,0.0,0.6427720848534759
5,AM.R0BD5.event.20260412T035354.mseed,R0BD5,AM.RC131.noise.20250605T100724.mseed;AM.RCBF0.noise.20250604T041225.mseed;AM.R7813.noise.20250606T160341.mseed,RC131,28.27,0.0,Bandpass,0.22007659204924768,0.2960887171367132,1.19859352546126,0.0,0.6000517165855154
5,AM.R0BD5.event.20260412T035354.mseed,R0BD5,AM.RC131.noise.20250605T100724.mseed;AM.RCBF0.noise.20250604T041225.mseed;AM.R7813.noise.20250606T160341.mseed,RC131,28.27,0.0,Wiener_blind,1.1046578608569677,1.1904899471114296,1.0901393278629168,0.0,0.6133269987877406
5,AM.R0BD5.event.20260412T035354.mseed,R0BD5,AM.RC131.noise.20250605T100724.mseed;AM.RCBF0.noise.20250604T041225.mseed;AM.R7813.noise.20250606T160341.mseed,RC131,28.27,0.0,Wiener_oracle,18.331590115957624,2.5620033840551137,0.16315923131207238,0.0,0.7465185209150186
5,AM.R0BD5.event.20260412T035354.mseed,R0BD5,AM.RC131.noise.20250605T100724.mseed;AM.RCBF0.noise.20250604T041225.mseed;AM.R7813.noise.20250606T160341.mseed,RC131,28.27,0.0,p0_e06,6.577576251778999,-0.16212744454517325,0.40528637265763934,0.0,0.3320029857817461
5,AM.R0BD5.event.20260412T035354.mseed,R0BD5,AM.RC131.noise.20250605T100724.mseed;AM.RCBF0.noise.20250604T041225.mseed;AM.R7813.noise.20250606T160341.mseed,RC131,28.27,0.0,p01_e07,6.8893996386473155,-0.17836558970028898,0.43847455172003147,0.0,0.2864069634661362
5,AM.R0BD5.event.20260412T035354.mseed,R0BD5,AM.RC131.noise.20250605T100724.mseed;AM.RCBF0.noise.20250604T041225.mseed;AM.R7813.noise.20250606T160341.mseed,RC131,28.27,0.0,p05_e16,7.1379738243273,-0.523040902994965,0.6500308594872204,0.0,0.28190231285359335
6,AM.R0BD5.event.20260412T035354.mseed,R0BD5,AM.RC131.noise.20250605T100724.mseed;AM.RCBF0.noise.20250604T041225.mseed;AM.R7813.noise.20250606T160341.mseed,RC131,28.27,5.0,Noisy,-1.7550759891270002e-13,4.999999782147968,1.1153869555133997,0.0,0.8271636363096673
6,AM.R0BD5.event.20260412T035354.mseed,R0BD5,AM.RC131.noise.20250605T100724.mseed;AM.RCBF0.noise.20250604T041225.mseed;AM.R7813.noise.20250606T160341.mseed,RC131,28.27,5.0,Bandpass,0.22007603281520044,5.049276381040286,1.0323828067067413,0.0,0.7925208409382396
6,AM.R0BD5.event.20260412T035354.mseed,R0BD5,AM.RC131.noise.20250605T100724.mseed;AM.RCBF0.noise.20250604T041225.mseed;AM.R7813.noise.20250606T160341.mseed,RC131,28.27,5.0,Wiener_blind,0.9662863674370128,5.1083388464077615,1.0467774718019547,0.0,0.8158432215562996
6,AM.R0BD5.event.20260412T035354.mseed,R0BD5,AM.RC131.noise.20250605T100724.mseed;AM.RCBF0.noise.20250604T041225.mseed;AM.R7813.noise.20250606T160341.mseed,RC131,28.27,5.0,Wiener_oracle,12.590776763018754,4.555398379947877,0.2753464170666935,0.0,0.8387327851986616
6,AM.R0BD5.event.20260412T035354.mseed,R0BD5,AM.RC131.noise.20250605T100724.mseed;AM.RCBF0.noise.20250604T041225.mseed;AM.R7813.noise.20250606T160341.mseed,RC131,28.27,5.0,p0_e06,6.608905420496058,0.5638561242982398,0.3485349107280912,0.0,0.4392111649220514
6,AM.R0BD5.event.20260412T035354.mseed,R0BD5,AM.RC131.noise.20250605T100724.mseed;AM.RCBF0.noise.20250604T041225.mseed;AM.R7813.noise.20250606T160341.mseed,RC131,28.27,5.0,p01_e07,6.925533225859512,0.4266587418898904,0.36998101699602043,0.0,0.3896799656259521
6,AM.R0BD5.event.20260412T035354.mseed,R0BD5,AM.RC131.noise.20250605T100724.mseed;AM.RCBF0.noise.20250604T041225.mseed;AM.R7813.noise.20250606T160341.mseed,RC131,28.27,5.0,p05_e16,7.227172470837324,0.2683860480174045,0.44697461364555213,0.0,0.36633838349070624
7,AM.R0BD5.event.20260414T210629.mseed,R0BD5,AM.RCCE6.noise.20250902T172254.mseed;AM.RD349.noise.20250603T222341.mseed;AM.R663D.noise.20250807T000025.mseed,RCCE6,18.76,-5.0,Noisy,-3.4137192315987033e-13,-5.0000000612121696,1.1954882331414107,0.0,0.42767716234660863
7,AM.R0BD5.event.20260414T210629.mseed,R0BD5,AM.RCCE6.noise.20250902T172254.mseed;AM.RD349.noise.20250603T222341.mseed;AM.R663D.noise.20250807T000025.mseed,RCCE6,18.76,-5.0,Bandpass,0.6420587340984119,-3.9991093161043128,1.1329627586244913,0.0,0.4641860336155525
