metric,lambda0_mean,lambda05_mean,paired_delta_mean,paired_delta_min,paired_delta_max,paired_delta_signs,lambda0_seed_sd,lambda05_seed_sd,pooled_seed_sd,abs_mean_delta_over_pooled_seed_sd
clean_snr_db,0.05579403747920338,-0.1489928456672465,-0.20478688314644988,-0.4626834172877953,-0.06572826920688664,"-,-,-",0.17654046997482128,0.05682918570064091,0.1311413243152758,1.5615740058726522
amp_ratio,0.8918695252794259,1.0472758754703666,0.15540635019094104,-0.03986420175159999,0.45316941921295384,"+,-,+",0.2504513829936603,0.06445078368443195,0.1828657960923455,0.8498382612375598
corr_z,0.36845517343666945,0.38223541488905205,0.013780241452382566,-0.0168765115681887,0.0327434782424223,"+,-,+",0.035457296302232225,0.008830402643918489,0.025837916633486665,0.5333340782794765

