method,lambda_pol,seed,selected_epoch,n,clean_snr_db,amp_ratio,corr_z
exp5_p0_seed42_e015,0.0,42,15,816,0.25533687897330865,0.6285371293539355,0.3508853431436455
exp5_p0_seed43_e008,0.0,43,8,816,-0.08008179221294302,1.1270631697746858,0.40926657229073266
exp5_p0_seed44_e013,0.0,44,13,816,-0.007872974322755475,0.9200082767096561,0.3452136048756302
exp5_p05_seed42_e020,0.5,42,20,816,-0.2073465383144866,1.0817065485668893,0.3763591008265596
exp5_p05_seed43_e022,0.5,43,22,816,-0.14581006141982966,1.0871989680230858,0.39239006072254395
exp5_p05_seed44_e014,0.5,44,14,816,-0.09382193726742322,0.9729221098211254,0.3779570831180525

