event_id,station,file_name
AM.R686A.event.20260504T031322,R686A,AM.R686A.event.20260504T031322.mseed
AM.R686A.event.20260505T024044,R686A,AM.R686A.event.20260505T024044.mseed
AM.R686A.event.20260507T174538,R686A,AM.R686A.event.20260507T174538.mseed
AM.R686A.event.20260510T031500,R686A,AM.R686A.event.20260510T031500.mseed
AM.R686A.event.20260510T182331,R686A,AM.R686A.event.20260510T182331.mseed
AM.R686A.event.20260515T110622,R686A,AM.R686A.event.20260515T110622.mseed
AM.R686A.event.20260528T114952,R686A,AM.R686A.event.20260528T114952.mseed
AM.R6928.event.20260120T072924,R6928,AM.R6928.event.20260120T072924.mseed
AM.R6928.event.20260414T163755,R6928,AM.R6928.event.20260414T163755.mseed
AM.R6928.event.20260515T113455,R6928,AM.R6928.event.20260515T113455.mseed
AM.R6928.event.20260516T145540,R6928,AM.R6928.event.20260516T145540.mseed
AM.R6928.event.20260519T180708,R6928,AM.R6928.event.20260519T180708.mseed
AM.R6928.event.20260525T220230,R6928,AM.R6928.event.20260525T220230.mseed
AM.R6928.event.20260530T213353,R6928,AM.R6928.event.20260530T213353.mseed
AM.R6928.event.20260531T214539,R6928,AM.R6928.event.20260531T214539.mseed
AM.R77C3.event.20260412T190442,R77C3,AM.R77C3.event.20260412T190442.mseed
AM.R77C3.event.20260426T022451,R77C3,AM.R77C3.event.20260426T022451.mseed
AM.R77C3.event.20260503T183928,R77C3,AM.R77C3.event.20260503T183928.mseed
AM.R77C3.event.20260520T141606,R77C3,AM.R77C3.event.20260520T141606.mseed
AM.R77C3.event.20260521T035234,R77C3,AM.R77C3.event.20260521T035234.mseed
AM.R77C3.event.20260523T001447,R77C3,AM.R77C3.event.20260523T001447.mseed
AM.R77C3.event.20260525T152634,R77C3,AM.R77C3.event.20260525T152634.mseed
AM.R77C3.event.20260528T220137,R77C3,AM.R77C3.event.20260528T220137.mseed
AM.R7813.event.20250715T090042,R7813,AM.R7813.event.20250715T090042.mseed
AM.R7813.event.20250821T040136,R7813,AM.R7813.event.20250821T040136.mseed
AM.R7813.event.20250917T215819,R7813,AM.R7813.event.20250917T215819.mseed
AM.R7813.event.20260216T041411,R7813,AM.R7813.event.20260216T041411.mseed
AM.R7813.event.20260315T202141,R7813,AM.R7813.event.20260315T202141.mseed
AM.R7813.event.20260330T012845,R7813,AM.R7813.event.20260330T012845.mseed
AM.R7813.event.20260423T180027,R7813,AM.R7813.event.20260423T180027.mseed
AM.R7813.event.20260519T064820,R7813,AM.R7813.event.20260519T064820.mseed
AM.R7BF6.event.20251025T195118,R7BF6,AM.R7BF6.event.20251025T195118.mseed
AM.R7BF6.event.20251118T123752,R7BF6,AM.R7BF6.event.20251118T123752.mseed
AM.R7BF6.event.20251207T231118,R7BF6,AM.R7BF6.event.20251207T231118.mseed
AM.R7BF6.event.20260112T062954,R7BF6,AM.R7BF6.event.20260112T062954.mseed
AM.R7BF6.event.20260213T205100,R7BF6,AM.R7BF6.event.20260213T205100.mseed
AM.R7BF6.event.20260219T121605,R7BF6,AM.R7BF6.event.20260219T121605.mseed
AM.R7BF6.event.20260309T230544,R7BF6,AM.R7BF6.event.20260309T230544.mseed
AM.R7BF6.event.20260321T180701,R7BF6,AM.R7BF6.event.20260321T180701.mseed
AM.R81CF.event.20251027T124753,R81CF,AM.R81CF.event.20251027T124753.mseed
AM.R81CF.event.20251104T235850,R81CF,AM.R81CF.event.20251104T235850.mseed
AM.R81CF.event.20260116T032812,R81CF,AM.R81CF.event.20260116T032812.mseed
AM.R81CF.event.20260119T153702,R81CF,AM.R81CF.event.20260119T153702.mseed
AM.R81CF.event.20260129T194131,R81CF,AM.R81CF.event.20260129T194131.mseed
AM.R81CF.event.20260213T013636,R81CF,AM.R81CF.event.20260213T013636.mseed
AM.R81CF.event.20260414T013356,R81CF,AM.R81CF.event.20260414T013356.mseed
AM.R81CF.event.20260429T150824,R81CF,AM.R81CF.event.20260429T150824.mseed
AM.R8219.event.20251208T053129,R8219,AM.R8219.event.20251208T053129.mseed
AM.R8219.event.20260113T082942,R8219,AM.R8219.event.20260113T082942.mseed
AM.R8219.event.20260113T083102,R8219,AM.R8219.event.20260113T083102.mseed
