method,n,d_cov_clean_mean,d_cov_clean_median,d_cov_clean_q25,d_cov_clean_q75,d_cov_noisy_mean,d_cov_noisy_median,d_cov_noisy_q25,d_cov_noisy_q75,d_cov_gain_vs_identity_mean,d_cov_gain_vs_identity_median,d_cov_gain_vs_identity_q25,d_cov_gain_vs_identity_q75,theta_deg_mean,theta_deg_median,theta_deg_q25,theta_deg_q75,theta_reduction_vs_identity_mean,theta_reduction_vs_identity_median,theta_reduction_vs_identity_q25,theta_reduction_vs_identity_q75,rectilinearity_abs_error_mean,rectilinearity_abs_error_median,rectilinearity_abs_error_q25,rectilinearity_abs_error_q75,planarity_abs_error_mean,planarity_abs_error_median,planarity_abs_error_q25,planarity_abs_error_q75,corr_z_mean,corr_z_median,corr_z_q25,corr_z_q75,corr_n_mean,corr_n_median,corr_n_q25,corr_n_q75,corr_e_mean,corr_e_median,corr_e_q25,corr_e_q75,trace_gate_count
Bandpass,816,0.1735218872612496,0.13910252219922464,0.08523619580530423,0.23273823866573953,0.029860447725751117,0.017352357293335334,0.008047396555027796,0.03834250451638754,-0.0030739700350208322,-7.336234135021241e-05,-0.009929501924765063,0.006928620075616988,19.62489794453445,11.435157548998667,4.833307106282691,27.53309330181709,-0.4044962961806798,-0.01299380742353995,-0.9056617403060152,0.752331146326325,0.1092471087407917,0.07633537753321235,0.030321797387577787,0.15878601086128769,0.10913541956616922,0.07529123390492043,0.029622906600493548,0.1607429457705789,0.682934167091105,0.7092431843199862,0.5406626666381213,0.8493606996616251,0.6705446841208147,0.6927721048963971,0.5178578862197312,0.8348806872809975,0.665678855605764,0.6887638926995521,0.5190433110773055,0.8317672804503734,0
Identity,816,0.1704479172262287,0.13663450136582778,0.08101177870336723,0.22861985198154577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.220401648353768,11.190788932018181,4.560376183536003,25.47971415788317,0.0,0.0,0.0,0.0,0.10686852316160493,0.07705607866687042,0.028071427818551403,0.15239550474003563,0.10705303946918793,0.08086673139468314,0.030600098370107104,0.15162024864390536,0.6921125407517126,0.7165052319463321,0.5456537101632717,0.8589409346434393,0.6770202248321833,0.6967366050937912,0.5249637740994921,0.8415068340149345,0.6689704660948256,0.6919115188208116,0.5173256641635936,0.8437172499102693,0
Wiener_blind,816,0.16711667376743214,0.13300864220319286,0.07631310741063087,0.223333501650576,0.07662829432627578,0.06140338501725533,0.029542246447224082,0.10788422117696053,0.003331243458796642,0.0007144342065536647,-0.022860720312357377,0.02855776452880214,18.59460824089278,9.542783655397093,3.878074964371996,24.884212902135932,0.6257934074609902,0.2333819940207844,-1.3147578028164517,2.5544208528016705,0.09964656331643668,0.06522221890785862,0.02693002581393142,0.14040641930835301,0.10297300684014739,0.07199316890120416,0.028304180182195104,0.15081826320371086,0.6903847102697819,0.7136016954800033,0.542243808085025,0.858690773802214,0.6742610344660509,0.698837464372228,0.5180773522076748,0.8422579879151977,0.6598016154073053,0.6850393398070023,0.4992078907965532,0.8399661486391315,0
Wiener_oracle,816,0.18939793798689203,0.15559698339269395,0.09028828586660399,0.25283592620324424,0.26600214336249567,0.22264619169835503,0.13426967964589875,0.36021863153866546,-0.018950020760663308,-0.016544255383854848,-0.09363023117552616,0.05767548683151226,19.631885772574208,10.554439591123353,4.304516020939233,24.786905113190898,-0.4114841242204372,-0.0761752669651734,-7.896786202651138,7.350160859232388,0.10790499351751519,0.07798368352646878,0.025933963199935628,0.15615340719278262,0.11543402845499003,0.0830735095549816,0.03054895531643964,0.1610814520189378,0.7649258877490317,0.8011051036688704,0.6742751337727563,0.8817906862367697,0.7478035243365223,0.775006795305967,0.6532777308945382,0.8665772874836922,0.731576897454752,0.7582041203764223,0.6272687546686713,0.8574761428457737,0
p01_e07,816,0.20874018020849217,0.1783771230439054,0.11660663587017958,0.26829826477070373,0.10167109196456836,0.09834652972716307,0.0665538330595004,0.12610179964535215,-0.03829226298226341,-0.03410353609690298,-0.07553091635754006,0.00016592959039055805,24.48279406319251,15.564475044832587,6.5761684231267035,35.51143599454349,-5.26239241483874,-2.201610962671884,-8.851782403871594,0.44064677708998323,0.11564039384224932,0.08322581868961676,0.03122724572374594,0.16914922786491743,0.11716026449728797,0.0868403133171512,0.034882521454423165,0.1640288684756524,0.3886367874339298,0.37494538653069653,0.2597403417008065,0.5023331952605974,0.36388040715369147,0.35103441804304114,0.250051602046568,0.476664455721635,0.3571025094584347,0.34614694261694134,0.24063904181799556,0.4630471532281527,0
p05_e16,816,0.20874752189574727,0.17470552807908113,0.11059645776073995,0.276046748784815,0.08820647454300833,0.07894063143046379,0.0569014414316154,0.11321090300307123,-0.038299604669518546,-0.032814492435184715,-0.07011792233003682,-0.004534046468323508,24.510103249500908,15.99547784180419,6.8023080793664095,35.24186175036077,-5.289701601147139,-2.9804427540200127,-8.195459011507475,0.2798509238460671,0.12042392408441355,0.08609437468847775,0.03468771526057582,0.17041856251267154,0.12178893663096146,0.09289942778134558,0.03358201198190344,0.1766432389179165,0.37704971012237876,0.3631130481623056,0.25031715049275977,0.49469956777191004,0.3616771895006597,0.3472713505531533,0.247391942367371,0.4750343599925877,0.3510106618870428,0.34503555374060235,0.23679710232613407,0.45551537815308396,0
p0_e06,816,0.22600000968529135,0.19678039715146756,0.1350455472955294,0.2895043192103609,0.1360670637756852,0.12437864697673012,0.08443586273224345,0.17276638831858715,-0.05555209245906258,-0.048909490065813674,-0.10253071632321603,-0.0055712210355834575,25.581972221561827,16.648252453198815,7.194903192471852,37.47032053307775,-6.361570573208057,-3.269985952477778,-10.002765847041534,0.3462265692115564,0.12482972453803798,0.09799254641267413,0.03781864936159149,0.18269897881861752,0.12150219051855893,0.09874518653665121,0.03764100151909455,0.17507291955121432,0.40179087159070964,0.38282937120410804,0.2696891391486898,0.5244849872381679,0.38189579125552786,0.37139886544456424,0.27123978961658335,0.49419225980857895,0.36313512490754196,0.35770294704585104,0.24818520930487556,0.4703824833683562,0
