case_id,event_template,station_template,noise_files,station_noise,onset_s,target_snr_db,method,d_cov_clean,d_cov_noisy,d_cov_gain_vs_identity,theta_deg,theta_reduction_vs_identity,rectilinearity_abs_error,planarity_abs_error,corr_z,corr_n,corr_e,clean_trace,output_trace,mixture_trace,trace_gate_flag
1,AM.R0BD5.event.20260411T225413.mseed,R0BD5,AM.RC131.noise.20250606T153000.mseed;AM.R8219.noise.20250604T004815.mseed;AM.RA825.noise.20250606T004041.mseed,RC131,59.53,-5.0,Identity,0.1742564401491006,0.0,0.0,42.91380082017267,0.0,0.14103686236675284,0.18607352438419744,0.466682350158169,0.414682300587978,0.5014519937118515,49024.46336874581,193655.5299115848,193655.5299115848,0
1,AM.R0BD5.event.20260411T225413.mseed,R0BD5,AM.RC131.noise.20250606T153000.mseed;AM.R8219.noise.20250604T004815.mseed;AM.RA825.noise.20250606T004041.mseed,RC131,59.53,-5.0,Bandpass,0.17398673325631192,0.004669752032439588,0.00026970689278868476,42.85026869779196,0.06353212238070682,0.1410637394247113,0.17749790231501872,0.4694272319698457,0.4159694524401273,0.5047707160867251,49024.46336874581,190615.3367915061,193655.5299115848,0
1,AM.R0BD5.event.20260411T225413.mseed,R0BD5,AM.RC131.noise.20250606T153000.mseed;AM.R8219.noise.20250604T004815.mseed;AM.RA825.noise.20250606T004041.mseed,RC131,59.53,-5.0,Wiener_blind,0.17013751364386587,0.005374885405517315,0.004118926505234738,40.35355520062413,2.560245619548539,0.1385618503487953,0.1801102750270751,0.46572393713868687,0.4183376152950667,0.5052871890395079,49024.46336874581,184597.10475828714,193655.5299115848,0
1,AM.R0BD5.event.20260411T225413.mseed,R0BD5,AM.RC131.noise.20250606T153000.mseed;AM.R8219.noise.20250604T004815.mseed;AM.RA825.noise.20250606T004041.mseed,RC131,59.53,-5.0,Wiener_oracle,0.19318949109645575,0.12340285655351918,-0.018933050947355146,53.24794593524556,-10.334145115072893,0.0892426890542809,0.025521233009824673,0.5397776955403503,0.4953861039834917,0.6026460210556757,49024.46336874581,9513.78510104214,193655.5299115848,0
1,AM.R0BD5.event.20260411T225413.mseed,R0BD5,AM.RC131.noise.20250606T153000.mseed;AM.R8219.noise.20250604T004815.mseed;AM.RA825.noise.20250606T004041.mseed,RC131,59.53,-5.0,p0_e06,0.1602879136985676,0.13864771812768936,0.013968526450533009,54.10447007988318,-11.19066925971051,0.05252951490600599,0.08995704101970547,0.31149577184475885,0.3268822498069958,0.3166620181899484,49024.46336874581,47618.100150906335,193655.5299115848,0
1,AM.R0BD5.event.20260411T225413.mseed,R0BD5,AM.RC131.noise.20250606T153000.mseed;AM.R8219.noise.20250604T004815.mseed;AM.RA825.noise.20250606T004041.mseed,RC131,59.53,-5.0,p01_e07,0.13583687143764658,0.11168561336796703,0.03841956871145402,36.828409867285856,6.0853909528868115,0.030880409807385156,0.024762883925043333,0.3063413467770736,0.31972011047690924,0.31603924372159375,49024.46336874581,44649.758638418156,193655.5299115848,0
1,AM.R0BD5.event.20260411T225413.mseed,R0BD5,AM.RC131.noise.20250606T153000.mseed;AM.R8219.noise.20250604T004815.mseed;AM.RA825.noise.20250606T004041.mseed,RC131,59.53,-5.0,p05_e16,0.12208906034638072,0.10121447506495448,0.05216737980271989,35.45043767053061,7.463363149642056,0.010076919824612784,0.018452669420166545,0.29929824661278037,0.3166008363663588,0.29730484315813843,49024.46336874581,50051.69566624565,193655.5299115848,0
2,AM.R0BD5.event.20260411T225413.mseed,R0BD5,AM.RC131.noise.20250606T153000.mseed;AM.R8219.noise.20250604T004815.mseed;AM.RA825.noise.20250606T004041.mseed,RC131,59.53,0.0,Identity,0.15128853244582602,0.0,0.0,44.42917613046447,0.0,0.10811916309142988,0.18407758350456294,0.6740803483246587,0.6675587420830089,0.7173205702570336,49024.46336874581,92202.88571665098,92202.88571665098,0
2,AM.R0BD5.event.20260411T225413.mseed,R0BD5,AM.RC131.noise.20250606T153000.mseed;AM.R8219.noise.20250604T004815.mseed;AM.RA825.noise.20250606T004041.mseed,RC131,59.53,0.0,Bandpass,0.15110034673651584,0.004421087064005704,0.00018818570931017353,45.00760373163691,-0.578427601172443,0.1080280462623141,0.17621904629601814,0.6765975338941997,0.6682616048862651,0.7198026803699329,49024.46336874581,91054.27061627846,92202.88571665098,0
2,AM.R0BD5.event.20260411T225413.mseed,R0BD5,AM.RC131.noise.20250606T153000.mseed;AM.R8219.noise.20250604T004815.mseed;AM.RA825.noise.20250606T004041.mseed,RC131,59.53,0.0,Wiener_blind,0.14785664446654923,0.004825605831411427,0.003431887979276793,43.388080484411105,1.041095646053364,0.10428748156052337,0.17571414438371957,0.6735118086696841,0.6705000416231813,0.7211912815027154,49024.46336874581,89030.5170405436,92202.88571665098,0
