region,method,n_stations,clean_snr_gain_station_mean,clean_snr_gain_negative_stations,corr_delta_station_mean,corr_delta_negative_stations,corr_z_station_mean
Americas,CovNorm lambda=0,23,-0.10967378461249855,18,-0.29843208822245104,23,0.4027081204921866
Europe/Africa,CovNorm lambda=0,9,0.19056466816474746,2,-0.27994877247983907,9,0.42173551000208864
Asia/Oceania,CovNorm lambda=0,2,0.04977260023758508,1,-0.2564051840173389,2,0.2844561104178326
Americas,CovNorm lambda=0.1,23,-0.22584879311732903,22,-0.31037532279888824,23,0.3907648859157495
Europe/Africa,CovNorm lambda=0.1,9,0.021644902156892108,5,-0.2957991372495294,9,0.4058851452323984
Asia/Oceania,CovNorm lambda=0.1,2,-0.15610461112985186,1,-0.2704775703574318,2,0.27038372407773975
Americas,CovNorm lambda=0.5,23,-0.28707492703620124,20,-0.3212300644115533,23,0.3799101443030845
Europe/Africa,CovNorm lambda=0.5,9,-0.07771227425154424,6,-0.3116396370726544,9,0.39004464540927336
Asia/Oceania,CovNorm lambda=0.5,2,-0.3127005661993714,2,-0.27365886497624625,2,0.26720242945892536
