method,recovery_fraction,n,clean_snr_gain_vs_identity_mean,clean_snr_gain_vs_identity_std,clean_snr_gain_vs_identity_median,clean_snr_gain_vs_identity_q25,clean_snr_gain_vs_identity_q75,clean_snr_abs_mean,clean_snr_abs_std,clean_snr_abs_median,clean_snr_abs_q25,clean_snr_abs_q75,amp_ratio_clean_mean,amp_ratio_clean_std,amp_ratio_clean_median,amp_ratio_clean_q25,amp_ratio_clean_q75,lag_s_mean,lag_s_std,lag_s_median,lag_s_q25,lag_s_q75,corr_z_mean,corr_z_std,corr_z_median,corr_z_q25,corr_z_q75,background_suppression_db_mean,background_suppression_db_std,background_suppression_db_median,background_suppression_db_q25,background_suppression_db_q75,amp_in_0p8_1p2_fraction
Identity,0.0,816,0.0,0.0,0.0,0.0,0.0,6.00348284266189e-09,4.084986743552364,1.8491798829821773e-08,-4.9999998232073875,4.999999847061815,1.97656555451891,2.6896580217719492,1.4366323947906494,1.142020344734192,2.04992938041687,-0.003394607843137255,0.057945361785772476,0.0,0.0,0.0,0.6918560568130695,0.18588787618382213,0.7165052319463321,0.545445569450099,0.8589409346434393,-1.1891717604092372e-13,2.0808959008529685e-13,-3.3751461329365114e-14,-1.3211286291780135e-13,-8.678947198979587e-15,0.3174019607843137
OracleRecovery30,0.3,816,3.098039331444863,1.5466763401325745e-08,3.098039331408964,3.098039321360944,3.0980393414351965,3.098039337448346,4.084986743245294,3.0980393494049805,-1.9019604868176891,8.09803918733026,1.5902628032308,1.8501624986580414,1.2141286730766296,1.063368320465088,1.6150223016738892,-0.0025,0.04873995098567386,0.0,0.0,0.0,0.7867621015925049,0.1598393336558021,0.82741518309013,0.6786212949690278,0.9226826987197091,3.0980393274038427,6.907414593266393e-09,3.098039327739867,3.0980393246756273,3.0980393305712965,0.4791666666666667
OracleRecovery50,0.5,816,6.02059991332454,1.7718801218151265e-08,6.020599913911017,6.020599903237501,6.020599923723816,6.020599919328023,4.084986744243391,6.020599927061719,1.0206000951957672,11.02059976882849,1.359851979887953,1.2935605328175008,1.1166812181472778,1.014708697795868,1.3407516479492188,-0.0025,0.040004600962383174,0.0,0.0,0.0,0.8590644992648027,0.1276897776699778,0.8991028550051336,0.7910794740574204,0.957675932837199,6.020599913279385,4.1626757968795496e-13,6.020599913279557,6.020599913279358,6.020599913279606,0.6200980392156863
OracleRecovery70,0.7,816,10.457574550288593,2.4394592037441328e-08,10.457574550283848,10.457574535860028,10.45757456402135,10.457574556292073,4.08498674364294,10.457574571119412,5.457574734334237,15.457574400838078,1.1624887590753097,0.7455277455286304,1.0393736958503723,0.9941079914569855,1.140440672636032,-1.2254901960784313e-05,0.0003500700210070024,0.0,0.0,0.0,0.9327647451118793,0.0808214953814496,0.9598614126322851,0.9050401947496433,0.9841977684622786,10.457574556940376,6.480351246567476e-09,10.457574556991538,10.457574553907621,10.457574559899335,0.821078431372549
OracleRecovery90,0.9,816,19.999999856860537,6.332392847922449e-08,19.999999850214017,19.999999815843474,19.999999889786995,19.999999862864016,4.084986766533438,19.999999877011764,14.999999992392882,24.99999973972399,1.0246000928329486,0.21083585230226495,1.001624047756195,0.983143612742424,1.026339590549469,0.0,0.0,0.0,0.0,0.0,0.9901830197780184,0.018043655393539117,0.9952798589982459,0.9876733300341016,0.998211251439957,19.999999850838773,6.848592031666745e-09,19.999999850684624,19.999999847573477,19.999999853826388,0.9816176470588235
