lambda_pol,lambda_label,seed,run_name,m,rank,selected_epoch,count,frequency
0.5,lambda=0.5,43,exp5_p05_seed43,15,11,11,1,0.0005
0.5,lambda=0.5,43,exp5_p05_seed43,15,12,27,1,0.0005
0.5,lambda=0.5,43,exp5_p05_seed43,15,13,28,1,0.0005
0.5,lambda=0.5,43,exp5_p05_seed43,20,1,22,965,0.4825
0.5,lambda=0.5,43,exp5_p05_seed43,20,2,23,339,0.1695
0.5,lambda=0.5,43,exp5_p05_seed43,20,3,21,296,0.148
0.5,lambda=0.5,43,exp5_p05_seed43,20,4,14,193,0.0965
0.5,lambda=0.5,43,exp5_p05_seed43,20,5,17,86,0.043
0.5,lambda=0.5,43,exp5_p05_seed43,20,6,18,62,0.031
0.5,lambda=0.5,43,exp5_p05_seed43,20,7,19,57,0.0285
0.5,lambda=0.5,43,exp5_p05_seed43,20,8,30,1,0.0005
0.5,lambda=0.5,43,exp5_p05_seed43,20,9,28,1,0.0005
0.5,lambda=0.5,43,exp5_p05_seed43,25,1,22,1024,0.512
0.5,lambda=0.5,43,exp5_p05_seed43,25,2,23,331,0.1655
0.5,lambda=0.5,43,exp5_p05_seed43,25,3,21,302,0.151
0.5,lambda=0.5,43,exp5_p05_seed43,25,4,14,176,0.088
0.5,lambda=0.5,43,exp5_p05_seed43,25,5,17,68,0.034
0.5,lambda=0.5,43,exp5_p05_seed43,25,6,18,53,0.0265
0.5,lambda=0.5,43,exp5_p05_seed43,25,7,19,45,0.0225
0.5,lambda=0.5,43,exp5_p05_seed43,25,8,24,1,0.0005
0.5,lambda=0.5,44,exp5_p05_seed44,5,1,14,859,0.4295
0.5,lambda=0.5,44,exp5_p05_seed44,5,2,18,360,0.18
0.5,lambda=0.5,44,exp5_p05_seed44,5,3,13,335,0.1675
0.5,lambda=0.5,44,exp5_p05_seed44,5,4,15,271,0.1355
0.5,lambda=0.5,44,exp5_p05_seed44,5,5,6,118,0.059
0.5,lambda=0.5,44,exp5_p05_seed44,5,6,11,26,0.013
0.5,lambda=0.5,44,exp5_p05_seed44,5,7,19,12,0.006
0.5,lambda=0.5,44,exp5_p05_seed44,5,8,24,9,0.0045
