run,scenario,m,rank,selected_method,selected_epoch,count,frequency
p05,size_curve_stratified_bootstrap,10,6,p05_e18,18,45,0.0225
p05,size_curve_stratified_bootstrap,10,7,p05_e21,21,20,0.01
p05,size_curve_stratified_bootstrap,10,8,p05_e13,13,14,0.007
p05,size_curve_stratified_bootstrap,10,9,p05_e10,10,9,0.0045
p05,size_curve_stratified_bootstrap,10,10,p05_e07,7,5,0.0025
p05,size_curve_stratified_bootstrap,10,11,p05_e20,20,3,0.0015
p05,size_curve_stratified_bootstrap,15,1,p05_e16,16,1168,0.584
p05,size_curve_stratified_bootstrap,15,2,p05_e17,17,309,0.1545
p05,size_curve_stratified_bootstrap,15,3,p05_e15,15,213,0.1065
p05,size_curve_stratified_bootstrap,15,4,p05_e14,14,151,0.0755
p05,size_curve_stratified_bootstrap,15,5,p05_e19,19,115,0.0575
p05,size_curve_stratified_bootstrap,15,6,p05_e18,18,22,0.011
p05,size_curve_stratified_bootstrap,15,7,p05_e13,13,11,0.0055
p05,size_curve_stratified_bootstrap,15,8,p05_e21,21,5,0.0025
p05,size_curve_stratified_bootstrap,15,9,p05_e20,20,4,0.002
p05,size_curve_stratified_bootstrap,15,10,p05_e10,10,2,0.001
p05,size_curve_stratified_bootstrap,20,1,p05_e16,16,1258,0.629
p05,size_curve_stratified_bootstrap,20,2,p05_e17,17,303,0.1515
p05,size_curve_stratified_bootstrap,20,3,p05_e15,15,243,0.1215
p05,size_curve_stratified_bootstrap,20,4,p05_e14,14,110,0.055
p05,size_curve_stratified_bootstrap,20,5,p05_e19,19,70,0.035
p05,size_curve_stratified_bootstrap,20,6,p05_e13,13,7,0.0035
p05,size_curve_stratified_bootstrap,20,7,p05_e18,18,3,0.0015
p05,size_curve_stratified_bootstrap,20,8,p05_e10,10,3,0.0015
p05,size_curve_stratified_bootstrap,20,9,p05_e21,21,3,0.0015
p05,size_curve_stratified_bootstrap,25,1,p05_e16,16,1323,0.6615
p05,size_curve_stratified_bootstrap,25,2,p05_e17,17,284,0.142
p05,size_curve_stratified_bootstrap,25,3,p05_e15,15,243,0.1215
p05,size_curve_stratified_bootstrap,25,4,p05_e14,14,97,0.0485
p05,size_curve_stratified_bootstrap,25,5,p05_e19,19,40,0.02
p05,size_curve_stratified_bootstrap,25,6,p05_e13,13,6,0.003
p05,size_curve_stratified_bootstrap,25,7,p05_e18,18,4,0.002
p05,size_curve_stratified_bootstrap,25,8,p05_e07,7,1,0.0005
p05,size_curve_stratified_bootstrap,25,9,p05_e10,10,1,0.0005
p05,size_curve_stratified_bootstrap,25,10,p05_e20,20,1,0.0005

